Character,Pronunciation,English
的,de/di2/di4,"(possessive particle)/of, really and truly, aim/clear"
一,yi1,one/1/single/a(n)
是,shi4,is/are/am/yes/to be
不,bu4/bu2,(negative prefix)/not/no
了,le/liao3/liao4,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place"
在,zai4,(located) at/in/exist
人,ren2,man/person/people
有,you3,to have/there is/there are/to exist/to be
我,wo3,I/me/myself
他,ta1,he/him
这,zhe4/zhei4,"this/these, this/these/(sometimes used before a measure word, especially in Beijing)"
个,ge4,(a measure word)/individual
们,men,(plural marker for pronouns and a few animate nouns)
中,zhong1/zhong4,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)"
来,lai2,to come
上,shang4,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up"
大,da4/dai4,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor"
为,wei2/wei4,"act as/take...to be/to be/to do/to serve as/to become, because of/for/to"
和,he2/he4/huo2/huo4,"and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend"
国,guo2,country/state/nation
地,de/di4,"(subor. part. adverbial)/-ly, earth/ground/field/place/land"
到,dao4,to (a place)/until (a time)/up to/to go/to arrive
以,yi3,to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)
说,shui4/shuo1,"persuade (politically), to speak/to say"
时,shi2,o'clock/time/when/hour/season/period
要,yao1/yao4,"demand/ask/request/coerce, important/vital/to want/to be going to/must"
就,jiu4,at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake
出,chu1,"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)"
会,hui4/kuai4,"can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting"
可,ke3,can/may/able to/certain(ly)/to suit/(particle used for emphasis)
也,ye3,also/too
你,ni3,you
对,dui4,couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right
生,sheng1,to be born/to give birth/life/to grow
能,neng2,can/may/capable/energy/able
而,er2,and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)
子,zi3/zi,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)"
那,na3/na4/nei4,"how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)"
得,de2/de/dei3,"obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to"
于,yu2,"(surname), in/at/to/from/by/than/out of"
着,zhao1/zhao2/zhe/zhu4/zhuo2,"catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply"
下,xia4,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter"
自,zi4,from/self/oneself/since
之,zhi1,(literary equivalent of 的)/(subor. part.)/him/her/it
年,nian2,year
过,guo4,(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-
发,fa1/fa4,"to send out/to show (one's feeling)/to issue/to develop, hair"
后,hou4,"empress/queen/surname, back/behind/rear/afterwards/after/later"
作,zuo4,to regard as/to take (somebody) for/to do/to make
里,li3,"inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown"
用,yong4,to use
道,dao4,direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk
行,hang2/xing2/xing4,"a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct"
所,suo3,actually/place
然,ran2,correct/right/so/thus/like this/-ly
家,jia1,"furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession"
种,zhong3/zhong4,"kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate"
事,shi4,matter/thing/item/work/affair
成,cheng2/cheng4,"finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth"
方,fang1,square/quadrilateral/direction/just
多,duo1,many/much/a lot of/numerous/multi-
经,jing1,classics/sacred book/pass through/to undergo/scripture
么,ma/me/yao1,"(interrog. part.), (interrog. suff.), one on dice/small"
去,qu4,to go/to leave/to remove
法,fa3,law/method/way/Buddhist teaching/Legalist/France (abbrev.)
学,xue2,learn/study/science/-ology
如,ru2,as (if)/such as
都,dou1/du1,"all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city"
同,tong2,like/same/similar/together/alike/with
现,xian4,appear/present/now/existing/current
当,dang1/dang4,"to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent"
没,mei2/mo4,"(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate"
动,dong4,to use/to act/to move/to change
面,mian4,"fade/side/surface/aspect/top/face/flour/noodles, flour/noodles"
起,qi3,to rise/to raise/to get up
看,kan1/kan4,"to look after/to take care of/to watch/to guard, it depends/think/to see/to look at"
定,ding4,to set/to fix/to determine/to decide/to order
天,tian1,day/sky/heaven
分,fen1/fen4,"to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part"
还,hai2/huan2/huan4,"also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return"
进,jin4,advance/enter/to come in
好,hao3/hao4,"good/well, be fond of"
小,xiao3,small/tiny/few/young
部,bu4,"ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)"
其,qi2,his/her/its/theirs/that/such/it (refers to sth preceding it)
些,xie1,some/few/several/(a measure word)
主,zhu3,to own/to host/master/lord/primary
样,yang4,manner/pattern/way/appearance/shape
理,li3,reason/logic/science/inner principle or structure
心,xin1,heart/mind
她,ta1,she
本,ben3,roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)
前,qian2,before/in front/ago/former/previous/earlier/front
开,kai1,open/operate (vehicle)/start
但,dan4,but/yet/however/only/merely/still
因,yin1,cause/reason/because
只,qi2/zhi1/zhi3,"earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only"
从,cong1/cong2/zong4,"lax/yielding/unhurried, from/obey/observe/follow, second cousin"
想,xiang3,to think/to believe/to suppose/to wish/to want/to miss
实,shi2,real/true/honest/really/solid
日,ri4,Japan/day/sun/date/day of the month
军,jun1,army/military/arms
者,zhe3,"-ist, -er (person)/person (who does sth)"
意,yi4,idea/meaning/wish/desire/(abbr.) Italy
无,wu2,-less/not to have/no/none/not/to lack/un-
力,li4,power/force/strength
它,ta1,it
与,yu2/yu3/yu4,"(interrog. part.), and/to give/together with, take part in"
长,chang2/zhang3,"length/long/forever/always/constantly, chief/head/elder/to grow/to develop"
把,ba3/ba4,"(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle"
机,ji1,machine/opportunity/secret
十,shi2,ten/10
民,min2,the people/nationality/citizen
第,di4,"(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)"
公,gong1,just/honorable (designation)/public/common
此,ci3,this/these
已,yi3,already/to stop/then/afterwards
工,gong1,work/worker/skill/profession/trade/craft/labor
使,shi3,to make/to cause/to enable/to use/to employ/messenger
情,qing2,feeling/emotion/passion/situation
明,ming2,clear/bright/to understand/next/the Ming dynasty
性,xing4,sex/nature/surname/suffix corresponding to -ness or -ity
知,zhi1,to know/to be aware
全,quan2,all/whole/entire/every/complete
三,san1,three/3
又,you4,(once) again/also/both... and.../again
关,guan1,(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve
点,dian3,(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)
正,zheng1/zheng4,"Chinese 1st month of year, just (right)/main/upright/straight/correct/principle"
业,ye4,business/occupation/study
外,wai4,outside/in addition/foreign/external
将,jiang1/jiang4,"(will, shall, ""future tense"")/ready/prepared/to get/to use, a general"
两,liang3,both/two/ounce/some/a few/tael
高,gao1,high/tall
间,jian1/jian4,"between/among/space/(measure word), interstice/separate"
由,you2,follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)
问,wen4,to ask
很,hen3,very/extremely
最,zui4,(the) most/-est
重,chong2/zhong4,"to double/to repeat/repetition/iteration/again/a layer, heavy/serious"
并,bing4,"and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with"
物,wu4,thing/object/matter
手,shou3,hand/convenient
应,ying1/ying4,"ought, (surname)/to answer/to respond"
战,zhan4,to fight/fight/war/battle
向,xiang4,"direction/part/side/towards/to/guide/opposite to, guide/opposite to"
头,tou2/tou,"head, suff. for nouns"
文,wen2,language/culture/writing/formal/literary
体,ti3,body/form/style/system
政,zheng4,political/politics/government
美,mei3,America/beautiful
相,xiang1/xiang4,"each other/one another/mutually, appearance/portrait/picture"
见,jian4/xian4,"to see/to meet/to appear (to be sth)/to interview, appear"
被,bei4,by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear
利,li4,advantage/benefit/profit/sharp
什,shen2/shi2,"what, tenth (used in fractions)"
二,er4,two/2
等,deng3,class/rank/grade/equal to/same as/wait for/await/et cetera/and so on
产,chan3,to reproduce/to produce/give birth/products/produce/resources/estate/property
或,huo4,maybe/perhaps/might/possibly/or
新,xin1,meso- (chem.)/new/newly
己,ji3,6th heavenly stem/self
制,zhi4,"system/to make/to manufacture/to control/to regulate, manufacture"
身,shen1,body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit
果,guo3,fruit/result
加,jia1,to add/plus
西,xi1,west
斯,si1,(phonetic)/this
月,yue4,moon/month
话,hua4,dialect/language/spoken words/speech/talk/words/conversation/what someone said
合,ge3/he2,"one-tenth of a peck, Chinese musical note/fit/to join"
回,hui2,(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam
特,te2/te4,"special/unusual/extraordinary, male animal/special (-ly)"
代,dai4,substitute/replace/generation/dynasty/geological era/era/age/period
内,nei4,inside/inner/internal/within/interior
信,xin4,letter/true/to believe/sign/evidence
